MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateRight45, killed, killed, killed, killed, Shoot, killed, RotateLeft45, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, MoveForward, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, RotateRight45, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight90, GetBattleInfo, GetBattleInfo, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, Shoot, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, Shoot, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight90, RotateLeft90, MoveForward, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, Shoot, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateRight90, RotateRight90, GetBattleInfo (killed), killed, killed, killed, RotateLeft90, killed, killed, killed, killed, Shoot, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), Shoot, Shoot, killed, killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), GetBattleInfo, GetBattleInfo, killed, killed, killed, killed, Shoot (killed), killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, killed, MoveForward (ignored), RotateLeft90, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, GetBattleInfo, killed, killed, MoveForward (ignored), killed, GetBattleInfo, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
Tie, reached max steps = 100, player 1 has 4 tanks, player 2 has 6 tanks
