MoveForward (ignored), DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward
killed, killed, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, killed, killed, MoveForward
killed, killed, RotateRight90, RotateRight45, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, killed, RotateRight90
killed, killed, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, killed, MoveForward
killed, killed, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, killed, MoveForward
killed, killed, RotateRight90, DoNothing, DoNothing, DoNothing, RotateRight90, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, killed, killed, RotateRight90
killed, killed, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, killed, killed, MoveForward
killed, killed, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), DoNothing, DoNothing, MoveForward (ignored), DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward (ignored), DoNothing, MoveForward (ignored), DoNothing, DoNothing, killed, killed, MoveForward
killed, killed, RotateRight90, RotateRight45, RotateRight45, RotateRight45, RotateRight90, RotateRight90, RotateRight90, RotateRight45, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight90, RotateRight45, RotateRight45, killed, killed, RotateRight90
killed, killed, MoveForward, DoNothing, DoNothing, DoNothing, MoveForward, MoveForward, MoveForward, DoNothing, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, MoveForward, DoNothing, DoNothing, killed, killed, MoveForward
killed, killed, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward, MoveForward, MoveForward, RotateRight45, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, killed, killed, MoveForward
killed, killed, RotateRight90, DoNothing, DoNothing, DoNothing, RotateRight90, RotateRight90, RotateRight90, DoNothing, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, RotateRight90, DoNothing, DoNothing, killed, killed, RotateRight90
killed, killed, MoveForward, RotateRight45, RotateRight45, RotateRight45, MoveForward (ignored), MoveForward (ignored), MoveForward (ignored), RotateRight45, RotateRight45, MoveForward (ignored), RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward (ignored), RotateRight45, RotateRight45, killed, killed, MoveForward
Tie, reached max steps = 100, player 1 has 10 tanks, player 2 has 11 tanks
